,,,,,,,,,,,
,,,,,,,,,,,
,$,0,0-1000,1000-2000,2000-3000,3000-4000,4000-5000,5000-6000,6000-7000,7000-8000,8000+
,0,0.875,0.077,0.021,0.01,0.004,0.003,0.002,0.001,0.001,0.005
,0-1000,0.59,0.25,0.071,0.029,0.018,0.009,0.005,0.006,0.003,0.018
,1000-2000,0.392,0.183,0.249,0.075,0.029,0.018,0.012,0.006,0.007,0.03
,2000-3000,0.279,0.144,0.134,0.249,0.077,0.031,0.015,0.011,0.014,0.047
,3000-4000,0.216,0.103,0.064,0.145,0.198,0.12,0.052,0.015,0.018,0.068
,4000-5000,0.216,0.071,0.073,0.096,0.151,0.179,0.065,0.039,0.02,0.09
,5000-6000,0.19,0.101,0.057,0.062,0.094,0.071,0.195,0.074,0.039,0.118
,6000-7000,0.218,0.096,0.038,0.079,0.071,0.071,0.146,0.084,0.075,0.121
,7000-8000,0.188,0.102,0.076,0.061,0.076,0.071,0.076,0.081,0.076,0.193
,8000+,0.229,0.104,0.068,0.068,0.06,0.05,0.053,0.048,0.041,0.28