Sample,Fill Weight,Fill Weight,Fill Weight,Fill Weight
1,352,348,350,351
2,351,352,351,350
3,351,346,342,350
4,349,353,352,352
5,351,350,351,351
6,353,351,346,346
7,348,344,350,347
8,350,349,351,346
9,344,345,346,349
10,349,350,352,352
11,353,352,354,356
12,348,353,346,351
13,352,350,351,348
14,356,351,349,352
15,353,348,351,350
16,353,354,350,352
17,351,348,347,348
18,353,352,346,352
19,346,348,347,349
20,351,348,347,346
21,348,352,351,352
22,356,351,350,350
23,352,348,347,349
24,348,353,351,352